",Type selection,Temps d'execution, Meilleur score, Nombre d'individu, Nombre generation, Mutation, Survivants,"
",selection_duel,8.404523134231567,278.03801415995883,50,10,0.1,5,"
",selection_duel_pondere,8.410507202148438,599.7280211327151,50,10,0.1,5,"
",selection_p_best,6.75693154335022,268.9649585772357,50,10,0.1,15,"
",selection_par_rang,6.808793067932129,381.92418111302635,50,10,0.1,15,"
",selection_proportionnelle,6.824525833129883,819.8224626198938,50,10,0.1,15,"
",selection_duel,8.039466857910156,455.6748837223373,50,10,0.1,7,"
",selection_duel_pondere,8.098342895507812,440.5635580366483,50,10,0.1,7,"
",selection_p_best,5.759596109390259,272.19264974476096,50,10,0.1,20,"
",selection_par_rang,5.78050422668457,506.1444978082951,50,10,0.1,20,"
",selection_proportionnelle,5.792961359024048,335.81651106312177,50,10,0.1,20,"
",selection_duel,7.430131196975708,522.1492818923866,50,10,0.1,10,"
",selection_duel_pondere,7.435113191604614,435.8451282235355,50,10,0.1,10,"
",selection_p_best,5.1293230056762695,585.4957796636811,50,10,0.1,25,"
",selection_par_rang,5.140213966369629,446.92628476224036,50,10,0.1,25,"
",selection_proportionnelle,5.135304927825928,705.8725395223926,50,10,0.1,25,"
",selection_duel,7.060122013092041,382.69089837233065,50,10,0.1,12,"
",selection_duel_pondere,7.077069997787476,637.8574483541647,50,10,0.1,12,"
",selection_p_best,4.111005783081055,578.1562530458103,50,10,0.1,30,"
",selection_par_rang,4.110008001327515,669.3342935659849,50,10,0.1,30,"
",selection_proportionnelle,4.111966609954834,403.5641454994336,50,10,0.1,30,"
",selection_duel,6.762953758239746,766.2307501087965,50,10,0.1,15,"
",selection_duel_pondere,6.738095760345459,444.4493244705867,50,10,0.1,15,"
",selection_p_best,3.5116074085235596,739.4898476157965,50,10,0.1,35,"
",selection_par_rang,3.487672805786133,955.1900592810025,50,10,0.1,35,"
",selection_proportionnelle,3.4826862812042236,433.6758859953821,50,10,0.1,35,"
",selection_duel,6.474684715270996,486.7652942303327,50,10,0.1,17,"
",selection_duel_pondere,6.475644826889038,796.4572959093061,50,10,0.1,17,"
",selection_p_best,2.5102827548980713,513.5483477432554,50,10,0.1,40,"
